全面 -quánmiàn; comprehensive (two chars)
建 -jiàn; build
康 -kāng; peaceful
小康 -xiǎokāng; moderately prosperous
社 -shè; society (character)
社会 -shèhuì; society (two characters)
工 -gōng; work
或 -huò; or/perhaps
孩 -hái; child (not zi)
爹 -diē; father (not fu)
干 -gàn; to do/village/dry/stem/able
干爹 -gāndiē; godfather
产 -chǎn; yield/produce

义 -yì; righteousness
主义 -zhǔyì; ism
方 -fāng; square/direction/power/just
便 -biàn; then/convenient/facilitate
方便 -fāngbiàn; convenient (2 chars)
请 -qǐng; please
言 -yán; speech
规 -guī; regulation
范 -fàn; model/limits/example
化 -huà; transform
规范 -guīfàn; specification
规范化 -guīfànhuà; standardization
普 -pǔ; general/popular
酒 -jiǔ; alcohol

毯 -tǎn; blanket/carpet
思 -sī; think
地毯 -dìtǎn; ground carpet
享 -xiǎng; enjoy
易 -yì; easy/exchange
交 -jiāo; cross/join
中心 -zhōngxīn; center
交易 -jiāoyì; trading
吾 -wù; I/my (not wo)
尔 -ěr; thou/thus
维吾尔 -wéiwú'ěr; Uyghur
药 -yào; medicine

友 -yǒu; friendly
献 -xiàn; offer/show
无 -wú; no (as in no charge)
偿 -cháng; compensation
血 -xuè; blood
